,chr,start,end,WestEurasia-SouthAsia,WestEurasia-Africa,WestEurasia-CentralAsiaSiberia,WestEurasia-Oceania,WestEurasia-America,WestEurasia-EastAsia,SouthAsia-Africa,SouthAsia-CentralAsiaSiberia,SouthAsia-Oceania,SouthAsia-America,SouthAsia-EastAsia,Africa-CentralAsiaSiberia,Africa-Oceania,Africa-America,Africa-EastAsia,CentralAsiaSiberia-Oceania,CentralAsiaSiberia-America,CentralAsiaSiberia-EastAsia,Oceania-America,Oceania-EastAsia,America-EastAsia
0,chr1,176101,176101,0.00895,0.00879,0.02521,0.01384,0.03641,0.00874,0.01257,0.03887,0.02008,0.05546,0.01199,0.03099,0.02162,0.04594,0.01256,0.05774,0.02413,0.04194,0.07434,0.01704,0.0587
1,chr1,449901,449901,0.02112,0.0137,0.02449,0.01745,0.0137,0.00932,0.03957,0.01657,0.01635,0.0352,0.01805,0.03704,0.04167,0.0,0.02174,0.02232,0.03704,0.02312,0.04167,0.01746,0.02174
2,chr1,665601,665601,0.00893,0.01302,0.04761,0.01045,0.01228,0.00901,0.01697,0.0665,0.01601,0.01868,0.01231,0.03579,0.02098,0.0154,0.01903,0.08638,0.04777,0.06274,0.02541,0.01442,0.01878
3,chr1,891701,891701,0.02854,0.00929,0.01129,0.0129,0.01441,0.00886,0.04489,0.05961,0.06831,0.0755,0.04242,0.01421,0.01546,0.01677,0.01115,0.0199,0.02132,0.01398,0.02192,0.01538,0.0168
4,chr1,1007801,1007801,0.00919,0.01387,0.02481,0.01144,0.04669,0.00841,0.01557,0.0303,0.01634,0.06237,0.01199,0.0185,0.01603,0.04168,0.01659,0.03143,0.03434,0.03144,0.07107,0.01552,0.06172
5,chr1,1049401,1049401,0.01708,0.02113,0.01342,0.01809,0.01182,0.00955,0.05112,0.0162,0.05441,0.03705,0.02843,0.03988,0.01496,0.0194,0.01722,0.04575,0.03265,0.02268,0.02467,0.01786,0.01475
6,chr1,1085101,1085101,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,chr1,1234301,1234301,0.0,0.02273,0.0,0.04167,0.0,0.0,0.02273,0.0,0.04167,0.0,0.0,0.02273,0.01753,0.02273,0.02273,0.04167,0.0,0.0,0.04167,0.04167,0.0
8,chr1,1242901,1242901,0.01076,0.0137,0.0137,0.01745,0.0137,0.0137,0.02564,0.02564,0.01781,0.02564,0.02564,0.0,0.04167,0.0,0.0,0.04167,0.0,0.0,0.04167,0.04167,0.0
9,chr1,1244801,1244801,0.01856,0.01894,0.01747,0.01716,0.01694,0.01908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,chr1,1677601,1677601,0.01138,0.01894,0.01747,0.01716,0.01694,0.01864,0.02564,0.02564,0.02564,0.02564,0.01406,0.0,0.0,0.0,0.03261,0.0,0.0,0.03001,0.0,0.02941,0.02899
11,chr1,2530201,2530201,0.01616,0.0137,0.0137,0.0137,0.0137,0.0137,0.02564,0.02564,0.02564,0.02564,0.02564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,chr1,2768401,2768401,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,chr1,3670401,3670401,0.0,0.02273,0.0,0.0,0.0,0.0,0.02273,0.0,0.0,0.0,0.0,0.02273,0.02273,0.02273,0.02273,0.0,0.0,0.0,0.0,0.0,0.0
14,chr1,3995301,3995301,0.04725,0.07757,0.01765,0.09725,0.04108,0.01257,0.01621,0.02564,0.03101,0.01641,0.03057,0.0411,0.01839,0.01942,0.05244,0.07269,0.03063,0.01462,0.03917,0.07926,0.03099
15,chr1,4278401,4278401,0.0137,0.01412,0.0137,0.0137,0.0137,0.0137,0.02273,0.0,0.0,0.0,0.0,0.02273,0.02273,0.02273,0.02273,0.0,0.0,0.0,0.0,0.0,0.0
16,chr1,4538501,4538501,0.0137,0.0137,0.02449,0.0137,0.0137,0.0137,0.0,0.03704,0.0,0.0,0.0,0.03704,0.0,0.0,0.0,0.03704,0.03704,0.03704,0.0,0.0,0.0
17,chr1,4716601,4716601,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,chr1,4922201,4922201,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,chr1,4936201,4936201,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,chr1,5299501,5299501,0.0137,0.02701,0.0137,0.0137,0.0137,0.0137,0.03367,0.0,0.0,0.0,0.0,0.03162,0.03099,0.03054,0.03461,0.0,0.0,0.0,0.0,0.0,0.0
21,chr1,5871901,5871901,0.00923,0.00861,0.01671,0.03287,0.01629,0.00842,0.01214,0.02564,0.03291,0.02564,0.01193,0.02273,0.0343,0.02273,0.01112,0.06463,0.0,0.02174,0.0625,0.03483,0.02174
22,chr1,6946201,6946201,0.01616,0.0137,0.0137,0.0137,0.0137,0.0137,0.02564,0.02564,0.02564,0.02564,0.02564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,chr1,7385501,7385501,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,chr1,7462901,7462901,0.01066,0.00933,0.01012,0.02221,0.06038,0.01353,0.01226,0.01812,0.02253,0.06581,0.0248,0.01564,0.02348,0.06729,0.02116,0.03877,0.10222,0.01701,0.04783,0.04799,0.10843
25,chr1,8182401,8182401,0.0,0.08198,0.0,0.0,0.0,0.0,0.06818,0.0,0.0,0.0,0.0,0.05992,0.05736,0.05551,0.07193,0.0,0.0,0.0,0.0,0.0,0.0
26,chr1,8203201,8203201,0.0389,0.04085,0.03337,0.03176,0.03063,0.04158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,chr1,8247701,8247701,0.0,0.02273,0.0,0.0,0.0,0.0,0.02273,0.0,0.0,0.0,0.0,0.02273,0.02273,0.02273,0.02273,0.0,0.0,0.0,0.0,0.0,0.0
28,chr1,8360201,8360201,0.0,0.0,0.24275,0.0,0.39679,0.0,0.0,0.21137,0.0,0.35829,0.0,0.21811,0.0,0.36688,0.0,0.18174,0.04652,0.22051,0.31818,0.0,0.36991
29,chr1,9846201,9846201,0.07934,0.01894,0.02107,0.01156,0.26108,0.03647,0.11471,0.03761,0.05564,0.07819,0.02191,0.06065,0.04167,0.32616,0.06675,0.02424,0.17665,0.01688,0.21544,0.02702,0.13372
30,chr1,10067201,10067201,0.0,0.02273,0.0,0.0,0.0,0.0,0.02273,0.0,0.0,0.0,0.0,0.02273,0.02273,0.02273,0.02273,0.0,0.0,0.0,0.0,0.0,0.0
31,chr1,10070201,10070201,0.0,0.05183,0.0,0.0,0.0,0.0,0.04489,0.0,0.0,0.0,0.0,0.04078,0.03951,0.0386,0.04676,0.0,0.0,0.0,0.0,0.0,0.0
32,chr1,10254801,10254801,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
